bodyPart,equipment,level,id,name,target,secondaryMuscles/0,secondaryMuscles/1,instructions/0,instructions/1,instructions/2,instructions/3,instructions/4,instructions/5,secondaryMuscles/2,instructions/6,instructions/7,secondaryMuscles/3,instructions/8,secondaryMuscles/4,instructions/9,secondaryMuscles/5,instructions/10
waist,body weight,Principiante,0001,3/4 abdominales,abs,hip flexors,lower back,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,Coloque las manos detrás de la cabeza con los codos apuntando hacia afuera.,"Contrayendo los abdominales, levante lentamente la parte superior del cuerpo del suelo, curvándose hacia delante hasta que el torso forme un ángulo de 45 grados.","Haz una pausa por un momento en la parte superior, luego baja lentamente la parte superior del cuerpo hasta la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
waist,body weight,Principiante,0002,curva lateral de 45°,abs,obliques,,Párese con los pies separados al ancho de los hombros y los brazos extendidos hacia abajo a los costados.,"Manteniendo la espalda recta y el centro del cuerpo contraído, doble lentamente el torso hacia un lado, bajando la mano hacia la rodilla.",Haz una pausa por un momento en la parte inferior y luego regresa lentamente a la posición inicial.,Repita en el otro lado.,Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,,
waist,body weight,Principiante,0003,bicicleta de aire,abs,hip flexors,,Acuéstese boca arriba con las manos colocadas detrás de la cabeza.,Levanta las piernas del suelo y dobla las rodillas en un ángulo de 90 grados.,Lleva el codo derecho hacia la rodilla izquierda mientras estiras simultáneamente la pierna derecha.,"Regresa a la posición inicial y repite el movimiento en el lado opuesto, llevando el codo izquierdo hacia la rodilla derecha mientras estiras la pierna izquierda.",Continúe alternando lados en un movimiento de pedaleo durante la cantidad deseada de repeticiones.,,,,,,,,,,
upper legs,body weight,Principiante,1512,estiramiento del equipo de cuatro patas,quads,hamstrings,glutes,Comience en cuatro patas con las manos directamente debajo de los hombros y las rodillas directamente debajo de las caderas.,"Extiende una pierna hacia atrás, manteniendo la rodilla doblada y el pie flexionado.","Baje lentamente las caderas hacia el suelo, sintiendo un estiramiento en los cuádriceps.",Mantén esta posición durante 20-30 segundos.,Cambia de pierna y repite el estiramiento del otro lado.,,,,,,,,,,
waist,body weight,Principiante,0006,toques de talón alternos,abs,obliques,,Acuéstese boca arriba con las rodillas dobladas y los pies apoyados en el suelo.,"Extiende los brazos hacia los lados, paralelos al suelo.","Contrayendo los abdominales, levanta los hombros del suelo y lleva la mano derecha hacia el talón derecho.","Regrese a la posición inicial y repita del lado izquierdo, llevando la mano izquierda hacia el talón izquierdo.",Continúe alternando lados durante el número deseado de repeticiones.,,,,,,,,,,
back,cable,Principiante,0007,pulldown lateral alterno,lats,biceps,rhomboids,Siéntese en la máquina de cable con la espalda recta y los pies apoyados en el suelo.,"Sujete las manijas con un agarre por encima de la mano, con una separación ligeramente mayor que el ancho de los hombros.","Inclínese ligeramente hacia atrás y tire de las manijas hacia el pecho, apretando los omóplatos.","Haga una pausa por un momento en el punto máximo del movimiento, luego suelte lentamente las manijas hasta volver a la posición inicial.",Repita el número de repeticiones deseado.,,,,,,,,,,
lower legs,body weight,Principiante,1368,círculos de tobillo,calves,ankle stabilizers,,Siéntese en el suelo con las piernas extendidas frente a usted.,Levante una pierna del suelo y gire el tobillo con un movimiento circular.,Realice la cantidad deseada de círculos en una dirección y luego cambie a la otra dirección.,Repita con la otra pierna.,,,,,,,,,,,
back,body weight,Avanzado,3293,Arquero levantando la mano,lats,biceps,forearms,Comience colgándose de una barra de dominadas con un agarre por encima de la mano y con los brazos ligeramente más separados que el ancho de los hombros.,Contraiga el centro del cuerpo y lleve los omóplatos hacia abajo y hacia atrás.,"Mientras te levantas, dobla un brazo y lleva el codo hacia el costado, mientras mantienes el otro brazo recto.",Continúa tirando hasta que tu barbilla esté por encima de la barra y tu brazo doblado esté completamente flexionado.,"Baje nuevamente con control, estirando el brazo doblado y repitiendo el movimiento del otro lado.",Alterne los lados con cada repetición.,,,,,,,,,
chest,body weight,Avanzado,3294,flexiones de arquero,pectorals,triceps,shoulders,Comience en posición de flexión con las manos ligeramente más separadas que el ancho de los hombros.,"Extiende un brazo hacia un lado, paralelo al suelo.","Baje el cuerpo doblando los codos, manteniendo la espalda recta y el centro del cuerpo contraído.",Empuja hacia atrás hasta la posición inicial.,"Repita del otro lado, extendiendo el brazo opuesto hacia el costado.",Continúe alternando lados durante el número deseado de repeticiones.,core,,,,,,,,
waist,body weight,Principiante,2355,Hondas de brazo colgando piernas dobladas con las rodillas,abs,shoulders,back,Cuélguese de una barra de dominadas con los brazos completamente extendidos y las rodillas dobladas en un ángulo de 90 grados.,"Contraiga el centro del cuerpo y levante las rodillas hacia el pecho, acercándolas lo más posible a los codos.",Baje lentamente las piernas hasta la posición inicial.,Repita el número de repeticiones deseado.,,,,,,,,,,,
